name,type_1,type_2,hp,attack,defense,speed,sp_attack,sp_defense,evs,moves,tutor_moves,catch_rate,happiness,abilities,hidden_abilities,height,weight,pokedex,generation,evolutions
Growlithe,FIRE,,55,70,45,60,70,50,,"1,EMBER,1,LEER,4,HOWL,8,BITE,12,FLAMEWHEEL,16,HELPINGHAND,20,AGILITY,24,FIREFANG,28,RETALIATE,32,CRUNCH,36,TAKEDOWN,40,FLAMETHROWER,44,ROAR,48,PLAYROUGH,52,REVERSAL,56,FLAREBLITZ","AERIALACE,AGILITY,ATTRACT,BODYSLAM,CAPTIVATE,CLOSECOMBAT,CONFIDE,COVET,CRUNCH,DIG,DOUBLEEDGE,DOUBLETEAM,ENDURE,FACADE,FIREBLAST,FIREFANG,FIRESPIN,FLAMECHARGE,FLAMETHROWER,FLAREBLITZ,FRUSTRATION,HEADBUTT,HEATWAVE,HELPINGHAND,HIDDENPOWER,INCINERATE,IRONTAIL,MIMIC,MUDSLAP,NATURALGIFT,OUTRAGE,OVERHEAT,PLAYROUGH,PROTECT,PSYCHICFANGS,REST,RETALIATE,RETURN,REVERSAL,ROAR,ROCKSMASH,ROUND,SAFEGUARD,SECRETPOWER,SLEEPTALK,SNARL,SNORE,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,THIEF,WILDCHARGE,WILLOWISP",190,50,"INTIMIDATE,FLASHFIRE",JUSTIFIED,0.7,19.0,"Its superb sense of smell ensures that this Pokémon won't forget any scent, no matter what. It uses its sense of smell to detect the emotions of others.",1,"ARCANINE,Item,FIRESTONE"
Arcanine,FIRE,,90,110,80,95,100,80,,"0,EXTREMESPEED,1,BURNUP,1,FLAMEWHEEL,1,HELPINGHAND,1,AGILITY,1,FIREFANG,1,RETALIATE,1,CRUNCH,1,TAKEDOWN,1,FLAMETHROWER,1,ROAR,1,PLAYROUGH,1,REVERSAL,1,FLAREBLITZ,1,EMBER,1,LEER,1,HOWL,1,BITE","AERIALACE,AGILITY,ATTRACT,BODYSLAM,BULLDOZE,CAPTIVATE,CLOSECOMBAT,CONFIDE,COVET,CRUNCH,DIG,DOUBLEEDGE,DOUBLETEAM,DRAGONPULSE,ENDURE,FACADE,FIREBLAST,FIREFANG,FIRESPIN,FLAMECHARGE,FLAMETHROWER,FLAREBLITZ,FRUSTRATION,GIGAIMPACT,HEADBUTT,HEATWAVE,HELPINGHAND,HIDDENPOWER,HYPERBEAM,HYPERVOICE,INCINERATE,IRONHEAD,IRONTAIL,LASERFOCUS,MIMIC,MUDSLAP,NATURALGIFT,OUTRAGE,OVERHEAT,PLAYROUGH,PROTECT,PSYCHICFANGS,REST,RETALIATE,RETURN,REVERSAL,ROAR,ROCKCLIMB,ROCKSMASH,ROUND,SAFEGUARD,SCARYFACE,SCORCHINGSANDS,SECRETPOWER,SLEEPTALK,SNARL,SNORE,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,THIEF,THUNDERFANG,WILDCHARGE,WILLOWISP",75,50,"INTIMIDATE,FLASHFIRE",JUSTIFIED,1.9,155.0,"This fleet-footed Pokémon is said to run over 6,200 miles in a single day and night. The fire that blazes wildly within its body is its source of power.",1,
Poliwag,WATER,,40,50,40,90,40,40,,"1,WATERGUN,1,HYPNOSIS,6,POUND,12,MUDSHOT,18,BUBBLEBEAM,24,RAINDANCE,30,BODYSLAM,36,EARTHPOWER,42,HYDROPUMP,48,BELLYDRUM,54,DOUBLEEDGE","ATTRACT,BLIZZARD,BODYSLAM,BULLDOZE,CAPTIVATE,CONFIDE,DEFENSECURL,DIG,DIVE,DOUBLEEDGE,DOUBLETEAM,EARTHPOWER,ENCORE,ENDEAVOR,ENDURE,FACADE,FRUSTRATION,HAIL,HEADBUTT,HELPINGHAND,HIDDENPOWER,HYDROPUMP,ICEBEAM,ICYWIND,MIMIC,MUDDYWATER,MUDSHOT,NATURALGIFT,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,SCALD,SECRETPOWER,SLEEPTALK,SNORE,SUBSTITUTE,SURF,SWAGGER,THIEF,WATERFALL,WATERPULSE,WHIRLPOOL",255,50,"WATERABSORB,DAMP",SWIFTSWIM,0.6,12.4,"It is possible to see this Pokémon's spiral innards right through its thin skin. However, the skin is also very flexible. Even sharp fangs bounce right off it.",1,"POLIWHIRL,Level,25"
Poliwhirl,WATER,,65,65,65,90,50,50,,"1,WATERGUN,1,HYPNOSIS,6,POUND,12,MUDSHOT,18,BUBBLEBEAM,24,RAINDANCE,32,BODYSLAM,40,EARTHPOWER,48,HYDROPUMP,56,BELLYDRUM,66,DOUBLEEDGE","ATTRACT,BLIZZARD,BODYSLAM,BRICKBREAK,BULLDOZE,CAPTIVATE,CONFIDE,COUNTER,DEFENSECURL,DIG,DIVE,DOUBLEEDGE,DOUBLETEAM,EARTHPOWER,EARTHQUAKE,ENCORE,ENDEAVOR,ENDURE,FACADE,FLING,FOCUSPUNCH,FRUSTRATION,HAIL,HEADBUTT,HELPINGHAND,HIDDENPOWER,HYDROPUMP,ICEBEAM,ICEPUNCH,ICYWIND,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,MUDDYWATER,MUDSHOT,MUDSLAP,NATURALGIFT,POWERUPPUNCH,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROCKSMASH,ROUND,SCALD,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SNORE,STRENGTH,SUBSTITUTE,SURF,SWAGGER,THIEF,WATERFALL,WATERPULSE,WHIRLPOOL",120,50,"WATERABSORB,DAMP",SWIFTSWIM,1.0,20.0,"Its body surface is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.",1,"POLIWRATH,Item,WATERSTONE,POLITOED,TradeItem,KINGSROCK"
Poliwrath,WATER,FIGHTING,90,95,95,70,70,90,,"0,SUBMISSION,1,CIRCLETHROW,1,MINDREADER,1,DYNAMICPUNCH,1,BUBBLEBEAM,1,RAINDANCE,1,BODYSLAM,1,EARTHPOWER,1,HYDROPUMP,1,BELLYDRUM,1,DOUBLEEDGE,1,WATERGUN,1,HYPNOSIS,1,POUND,1,MUDSHOT","ATTRACT,BLIZZARD,BODYSLAM,BRICKBREAK,BULKUP,BULLDOZE,CAPTIVATE,CLOSECOMBAT,COACHING,CONFIDE,COUNTER,DARKESTLARIAT,DEFENSECURL,DIG,DIVE,DOUBLEEDGE,DOUBLETEAM,DRAINPUNCH,DUALCHOP,DYNAMICPUNCH,EARTHPOWER,EARTHQUAKE,ENCORE,ENDEAVOR,ENDURE,FACADE,FLING,FOCUSBLAST,FOCUSPUNCH,FRUSTRATION,GIGAIMPACT,HAIL,HEADBUTT,HELPINGHAND,HIDDENPOWER,HIGHHORSEPOWER,HYDROPUMP,HYPERBEAM,ICEBEAM,ICEPUNCH,ICYWIND,LIQUIDATION,LOWSWEEP,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,MUDDYWATER,MUDSHOT,MUDSLAP,NATURALGIFT,PAYBACK,POISONJAB,POWERUPPUNCH,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,REVERSAL,ROCKCLIMB,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROUND,SCALD,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SNORE,STRENGTH,SUBSTITUTE,SUPERPOWER,SURF,SWAGGER,THIEF,THROATCHOP,VACUUMWAVE,WATERFALL,WATERPULSE,WHIRLPOOL,WORKUP",45,50,"WATERABSORB,DAMP",SWIFTSWIM,1.3,54.0,"Its highly developed muscles never grow fatigued, however much it exercises. This Pokémon can swim back and forth across the Pacific Ocean without effort.",1,
Abra,PSYCHIC,,25,20,15,90,105,55,,"1,TELEPORT","ALLYSWITCH,ATTRACT,BODYSLAM,CALMMIND,CAPTIVATE,CHARGEBEAM,CONFIDE,COUNTER,DAZZLINGGLEAM,DOUBLEEDGE,DOUBLETEAM,DRAINPUNCH,DREAMEATER,DYNAMICPUNCH,EMBARGO,ENCORE,ENDURE,ENERGYBALL,FACADE,FIREPUNCH,FLASH,FLING,FOCUSPUNCH,FOULPLAY,FRUSTRATION,GRASSKNOT,GRAVITY,GUARDSWAP,HEADBUTT,HIDDENPOWER,ICEPUNCH,IRONTAIL,KNOCKOFF,LIGHTSCREEN,MAGICCOAT,MAGICROOM,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,NATURALGIFT,POWERSWAP,PROTECT,PSYCHIC,PSYCHICTERRAIN,PSYCHUP,PSYSHOCK,RAINDANCE,RECYCLE,REFLECT,REST,RETURN,ROLEPLAY,ROUND,SAFEGUARD,SECRETPOWER,SEISMICTOSS,SHADOWBALL,SHOCKWAVE,SIGNALBEAM,SKILLSWAP,SLEEPTALK,SNATCH,SNORE,SPEEDSWAP,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAUNT,TELEKINESIS,THIEF,THUNDERPUNCH,THUNDERWAVE,TORMENT,TRIATTACK,TRICK,TRICKROOM,WONDERROOM,ZENHEADBUTT",200,50,"SYNCHRONIZE,INNERFOCUS",MAGICGUARD,0.9,19.5,A Pokémon that sleeps 18 hours a day. Observation revealed that it uses Teleport to change its location once every hour.,1,"KADABRA,Level,16"
Kadabra,PSYCHIC,,40,35,30,105,120,70,,"0,CONFUSION,1,KINESIS,1,DISABLE,1,TELEPORT,5,PSYBEAM,10,REFLECT,15,ALLYSWITCH,20,PSYCHOCUT,25,RECOVER,30,PSYSHOCK,35,PSYCHIC,40,ROLEPLAY,45,FUTURESIGHT,50,CALMMIND","ALLYSWITCH,ATTRACT,BODYSLAM,CALMMIND,CAPTIVATE,CHARGEBEAM,CONFIDE,COUNTER,DAZZLINGGLEAM,DOUBLEEDGE,DOUBLETEAM,DRAINPUNCH,DREAMEATER,DYNAMICPUNCH,EMBARGO,ENCORE,ENDURE,ENERGYBALL,EXPANDINGFORCE,FACADE,FIREPUNCH,FLASH,FLING,FOCUSPUNCH,FOULPLAY,FRUSTRATION,FUTURESIGHT,GRASSKNOT,GRAVITY,GUARDSWAP,HEADBUTT,HIDDENPOWER,ICEPUNCH,IRONTAIL,KNOCKOFF,LIGHTSCREEN,MAGICCOAT,MAGICROOM,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,NATURALGIFT,POWERSWAP,PROTECT,PSYCHIC,PSYCHICTERRAIN,PSYCHOCUT,PSYCHUP,PSYSHOCK,RAINDANCE,RECYCLE,REFLECT,REST,RETURN,ROLEPLAY,ROUND,SAFEGUARD,SECRETPOWER,SEISMICTOSS,SHADOWBALL,SHOCKWAVE,SIGNALBEAM,SKILLSWAP,SLEEPTALK,SNATCH,SNORE,SPEEDSWAP,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAUNT,TELEKINESIS,THIEF,THUNDERPUNCH,THUNDERWAVE,TORMENT,TRIATTACK,TRICK,TRICKROOM,WONDERROOM,ZENHEADBUTT",100,50,"SYNCHRONIZE,INNERFOCUS",MAGICGUARD,1.3,56.5,It is rumored that a boy with psychic abilities suddenly transformed into Kadabra while he was assisting research into extrasensory powers.,1,"ALAKAZAM,Trade,"
Alakazam,PSYCHIC,,55,50,45,120,135,95,,"1,CONFUSION,1,KINESIS,1,DISABLE,1,TELEPORT,5,PSYBEAM,10,REFLECT,15,ALLYSWITCH,20,PSYCHOCUT,25,RECOVER,30,PSYSHOCK,35,PSYCHIC,40,ROLEPLAY,45,FUTURESIGHT,50,CALMMIND","ALLYSWITCH,ATTRACT,BODYSLAM,CALMMIND,CAPTIVATE,CHARGEBEAM,CONFIDE,COUNTER,DAZZLINGGLEAM,DOUBLEEDGE,DOUBLETEAM,DRAINPUNCH,DREAMEATER,DYNAMICPUNCH,EMBARGO,ENCORE,ENDURE,ENERGYBALL,EXPANDINGFORCE,FACADE,FIREPUNCH,FLASH,FLING,FOCUSBLAST,FOCUSPUNCH,FOULPLAY,FRUSTRATION,FUTURESIGHT,GIGAIMPACT,GRASSKNOT,GRAVITY,GUARDSWAP,HEADBUTT,HIDDENPOWER,HYPERBEAM,ICEPUNCH,IMPRISON,IRONTAIL,KNOCKOFF,LASERFOCUS,LIGHTSCREEN,MAGICCOAT,MAGICROOM,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,NASTYPLOT,NATURALGIFT,POWERSWAP,PROTECT,PSYCHIC,PSYCHICTERRAIN,PSYCHOCUT,PSYCHUP,PSYSHOCK,RAINDANCE,RECYCLE,REFLECT,REST,RETURN,ROLEPLAY,ROUND,SAFEGUARD,SECRETPOWER,SEISMICTOSS,SHADOWBALL,SHOCKWAVE,SIGNALBEAM,SKILLSWAP,SLEEPTALK,SNATCH,SNORE,SPEEDSWAP,STOREDPOWER,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,TAUNT,TELEKINESIS,THIEF,THUNDERPUNCH,THUNDERWAVE,TORMENT,TRIATTACK,TRICK,TRICKROOM,WONDERROOM,ZENHEADBUTT",50,50,"SYNCHRONIZE,INNERFOCUS",MAGICGUARD,1.5,48.0,"While it has strong psychic abilities and high intelligence, an Alakazam's muscles are very weak. It uses psychic power to move its body.",1,
Machop,FIGHTING,,70,80,50,35,35,35,,"1,LOWKICK,1,LEER,4,FOCUSENERGY,8,REVENGE,12,LOWSWEEP,16,KNOCKOFF,20,SCARYFACE,24,VITALTHROW,29,STRENGTH,32,DUALCHOP,36,BULKUP,40,SEISMICTOSS,44,DYNAMICPUNCH,48,CROSSCHOP,52,DOUBLEEDGE","ATTRACT,BODYSLAM,BRICKBREAK,BULKUP,BULLDOZE,CAPTIVATE,CLOSECOMBAT,COACHING,CONFIDE,COUNTER,DIG,DOUBLEEDGE,DOUBLETEAM,DUALCHOP,DYNAMICPUNCH,EARTHQUAKE,ENCORE,ENDURE,FACADE,FIREBLAST,FIREPUNCH,FLAMETHROWER,FLING,FOCUSBLAST,FOCUSENERGY,FOCUSPUNCH,FRUSTRATION,HEADBUTT,HEAVYSLAM,HELPINGHAND,HIDDENPOWER,ICEPUNCH,INCINERATE,KNOCKOFF,LIGHTSCREEN,LOWKICK,LOWSWEEP,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,MUDSLAP,NATURALGIFT,PAYBACK,POISONJAB,POWERUPPUNCH,PROTECT,RAINDANCE,REST,RETALIATE,RETURN,REVENGE,REVERSAL,ROCKCLIMB,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROLEPLAY,ROUND,SCARYFACE,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SMACKDOWN,SNORE,STRENGTH,SUBSTITUTE,SUNNYDAY,SUPERPOWER,SWAGGER,THIEF,THUNDERPUNCH,VACUUMWAVE,WORKUP",180,50,"GUTS,NOGUARD",STEADFAST,0.8,19.5,It continually undertakes strenuous training to master all forms of martial arts. Its strength lets it easily hoist a sumo wrestler onto its shoulders.,1,"MACHOKE,Level,28"
Machoke,FIGHTING,,80,100,70,45,50,60,,"1,LOWKICK,1,LEER,1,FOCUSENERGY,1,REVENGE,12,LOWSWEEP,16,KNOCKOFF,20,SCARYFACE,24,VITALTHROW,31,STRENGTH,36,DUALCHOP,42,BULKUP,48,SEISMICTOSS,54,DYNAMICPUNCH,60,CROSSCHOP,66,DOUBLEEDGE","ATTRACT,BODYSLAM,BRICKBREAK,BULKUP,BULLDOZE,CAPTIVATE,CLOSECOMBAT,COACHING,CONFIDE,COUNTER,DIG,DOUBLEEDGE,DOUBLETEAM,DUALCHOP,DYNAMICPUNCH,EARTHQUAKE,ENCORE,ENDURE,FACADE,FIREBLAST,FIREPUNCH,FLAMETHROWER,FLING,FOCUSBLAST,FOCUSENERGY,FOCUSPUNCH,FRUSTRATION,HEADBUTT,HEAVYSLAM,HELPINGHAND,HIDDENPOWER,ICEPUNCH,INCINERATE,KNOCKOFF,LIGHTSCREEN,LOWKICK,LOWSWEEP,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,MUDSLAP,NATURALGIFT,PAYBACK,POISONJAB,POWERUPPUNCH,PROTECT,RAINDANCE,REST,RETALIATE,RETURN,REVENGE,REVERSAL,ROCKCLIMB,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROLEPLAY,ROUND,SCARYFACE,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SMACKDOWN,SNORE,STOMPINGTANTRUM,STRENGTH,SUBSTITUTE,SUNNYDAY,SUPERPOWER,SWAGGER,THIEF,THUNDERPUNCH,VACUUMWAVE,WORKUP",90,50,"GUTS,NOGUARD",STEADFAST,1.5,70.5,"A belt is worn by a Machoke to keep its overwhelming power under control. Because it is so dangerous, no one has ever removed the belt.",1,"MACHAMP,Trade,"
Machamp,FIGHTING,,90,130,80,55,65,85,,"1,WIDEGUARD,1,LOWKICK,1,LEER,1,FOCUSENERGY,1,REVENGE,12,LOWSWEEP,16,KNOCKOFF,20,SCARYFACE,24,VITALTHROW,31,STRENGTH,36,DUALCHOP,42,BULKUP,48,SEISMICTOSS,54,DYNAMICPUNCH,60,CROSSCHOP,66,DOUBLEEDGE","ASSURANCE,ATTRACT,BODYSLAM,BRICKBREAK,BULKUP,BULLDOZE,CAPTIVATE,CLOSECOMBAT,COACHING,CONFIDE,COUNTER,CROSSPOISON,DARKESTLARIAT,DIG,DOUBLEEDGE,DOUBLETEAM,DUALCHOP,DYNAMICPUNCH,EARTHQUAKE,ENCORE,ENDURE,FACADE,FIREBLAST,FIREPUNCH,FLAMETHROWER,FLING,FOCUSBLAST,FOCUSENERGY,FOCUSPUNCH,FRUSTRATION,GIGAIMPACT,HEADBUTT,HEAVYSLAM,HELPINGHAND,HIDDENPOWER,HIGHHORSEPOWER,HYPERBEAM,ICEPUNCH,INCINERATE,KNOCKOFF,LIGHTSCREEN,LOWKICK,LOWSWEEP,MEGAKICK,MEGAPUNCH,METRONOME,MIMIC,MUDSLAP,NATURALGIFT,PAYBACK,POISONJAB,POWERUPPUNCH,PROTECT,RAINDANCE,REST,RETALIATE,RETURN,REVENGE,REVERSAL,ROCKBLAST,ROCKCLIMB,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROLEPLAY,ROUND,SCARYFACE,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SMACKDOWN,SNORE,STOMPINGTANTRUM,STONEEDGE,STRENGTH,SUBSTITUTE,SUNNYDAY,SUPERPOWER,SWAGGER,THIEF,THROATCHOP,THUNDERPUNCH,VACUUMWAVE,WORKUP",45,50,"GUTS,NOGUARD",STEADFAST,1.6,130.0,It is impossible to defend against punches and chops doled out by its four arms. Its fighting spirit flares up when it faces a tough opponent.,1,
Bellsprout,GRASS,POISON,50,75,35,40,70,30,,"1,VINEWHIP,7,GROWTH,11,WRAP,13,SLEEPPOWDER,15,POISONPOWDER,17,STUNSPORE,23,ACID,27,KNOCKOFF,29,SWEETSCENT,35,GASTROACID,39,RAZORLEAF,41,POISONJAB,47,SLAM","ATTRACT,BIND,BULLETSEED,CAPTIVATE,CONFIDE,CUT,DOUBLEEDGE,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FLASH,FRUSTRATION,GASTROACID,GIGADRAIN,GRASSKNOT,HIDDENPOWER,INFESTATION,KNOCKOFF,MIMIC,NATURALGIFT,NATUREPOWER,POISONJAB,PROTECT,REFLECT,REST,RETURN,ROUND,SECRETPOWER,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,SUBSTITUTE,SUCKERPUNCH,SUNNYDAY,SWAGGER,SWORDSDANCE,SYNTHESIS,THIEF,VENOSHOCK,WORRYSEED",255,50,CHLOROPHYLL,GLUTTONY,0.7,4.0,"A Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, it leaks a fluid that melts even iron.",1,"WEEPINBELL,Level,21"
Weepinbell,GRASS,POISON,65,90,50,55,85,45,,"1,VINEWHIP,1,GROWTH,1,WRAP,7,GROWTH,11,WRAP,13,SLEEPPOWDER,15,POISONPOWDER,17,STUNSPORE,24,ACID,29,KNOCKOFF,32,SWEETSCENT,39,GASTROACID,44,RAZORLEAF,47,POISONJAB,54,SLAM","ATTRACT,BIND,BULLETSEED,CAPTIVATE,CONFIDE,CUT,DOUBLEEDGE,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FLASH,FRUSTRATION,GASTROACID,GIGADRAIN,GRASSKNOT,HIDDENPOWER,INFESTATION,KNOCKOFF,MIMIC,NATURALGIFT,NATUREPOWER,POISONJAB,PROTECT,REFLECT,REST,RETURN,ROUND,SECRETPOWER,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,SUBSTITUTE,SUCKERPUNCH,SUNNYDAY,SWAGGER,SWORDSDANCE,SYNTHESIS,THIEF,VENOSHOCK,WORRYSEED",120,50,CHLOROPHYLL,GLUTTONY,1.0,6.4,"At night, a Weepinbell hangs on to a tree branch with its hooked rear and sleeps. If it moves around in its sleep, it may wake up to find itself on the ground.",1,"VICTREEBEL,Item,LEAFSTONE"
Victreebel,GRASS,POISON,80,105,65,70,100,70,,"0,LEAFTORNADO,1,STOCKPILE,1,SWALLOW,1,SPITUP,1,GROWTH,1,WRAP,1,POISONPOWDER,1,STUNSPORE,1,ACID,1,KNOCKOFF,1,GASTROACID,1,POISONJAB,1,SLAM,1,VINEWHIP,1,SLEEPPOWDER,1,SWEETSCENT,1,RAZORLEAF,32,LEAFSTORM,44,LEAFBLADE","ATTRACT,BIND,BODYSLAM,BULLETSEED,CAPTIVATE,CONFIDE,CUT,DOUBLEEDGE,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FLASH,FRUSTRATION,GASTROACID,GIGADRAIN,GIGAIMPACT,GRASSKNOT,HIDDENPOWER,HYPERBEAM,INFESTATION,KNOCKOFF,MIMIC,NATURALGIFT,NATUREPOWER,POISONJAB,PROTECT,REFLECT,REST,RETURN,ROUND,SECRETPOWER,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,SUBSTITUTE,SUCKERPUNCH,SUNNYDAY,SWAGGER,SWORDSDANCE,SYNTHESIS,THIEF,VENOSHOCK,WORRYSEED",45,50,CHLOROPHYLL,GLUTTONY,1.7,15.5,"The long vine extending from its head is waved about as if it were a living thing to attract prey. When an unsuspecting victim approaches, it is swallowed whole.",1,
Tentacool,WATER,POISON,40,40,35,70,50,100,,"1,POISONSTING,1,WATERGUN,4,ACID,8,WRAP,12,SUPERSONIC,16,WATERPULSE,20,SCREECH,24,BUBBLEBEAM,28,HEX,32,ACIDARMOR,36,POISONJAB,40,SURF,44,SLUDGEWAVE,48,HYDROPUMP","ATTRACT,BIND,BLIZZARD,BRINE,BRUTALSWING,CAPTIVATE,CONFIDE,CROSSPOISON,CUT,DAZZLINGGLEAM,DIVE,DOUBLEEDGE,DOUBLETEAM,ENDURE,FACADE,FRUSTRATION,GIGADRAIN,HAIL,HEX,HIDDENPOWER,HYDROPUMP,ICEBEAM,ICYWIND,INFESTATION,KNOCKOFF,MAGICCOAT,MIMIC,MUDDYWATER,NATURALGIFT,PAYBACK,POISONJAB,PROTECT,RAINDANCE,REST,RETURN,ROUND,SAFEGUARD,SCALD,SCREECH,SECRETPOWER,SLEEPTALK,SLUDGEBOMB,SLUDGEWAVE,SNORE,SUBSTITUTE,SURF,SWAGGER,SWORDSDANCE,THIEF,TOXICSPIKES,VENOSHOCK,WATERFALL,WATERPULSE,WHIRLPOOL",190,50,"CLEARBODY,LIQUIDOOZE",RAINDISH,0.9,45.5,"Its body is almost entirely composed of water. It ensnares its foe with its two long tentacles, then stabs with the poison stingers at their tips.",1,"TENTACRUEL,Level,30"
Tentacruel,WATER,POISON,80,70,65,100,80,120,,"1,REFLECTTYPE,1,POISONSTING,1,WATERGUN,1,ACID,1,WRAP,12,SUPERSONIC,16,WATERPULSE,20,SCREECH,24,BUBBLEBEAM,28,HEX,34,ACIDARMOR,40,POISONJAB,46,SURF,52,SLUDGEWAVE,58,HYDROPUMP","ATTRACT,BIND,BLIZZARD,BRINE,BRUTALSWING,CAPTIVATE,CONFIDE,CORROSIVEGAS,CROSSPOISON,CUT,DAZZLINGGLEAM,DIVE,DOUBLEEDGE,DOUBLETEAM,ENDURE,FACADE,FRUSTRATION,GIGADRAIN,GIGAIMPACT,HAIL,HEX,HIDDENPOWER,HYDROPUMP,HYPERBEAM,ICEBEAM,ICYWIND,INFESTATION,KNOCKOFF,MAGICCOAT,MIMIC,MUDDYWATER,NATURALGIFT,PAYBACK,POISONJAB,PROTECT,RAINDANCE,REST,RETURN,ROUND,SAFEGUARD,SCALD,SCREECH,SECRETPOWER,SLEEPTALK,SLUDGEBOMB,SLUDGEWAVE,SNORE,SUBSTITUTE,SURF,SWAGGER,SWORDSDANCE,THIEF,TOXICSPIKES,VENOMDRENCH,VENOSHOCK,WATERFALL,WATERPULSE,WHIRLPOOL",60,50,"CLEARBODY,LIQUIDOOZE",RAINDISH,1.6,55.0,It lives in complex rock formations on the ocean floor and traps prey using its 80 tentacles. Its red orbs glow when it grows excited or agitated.,1,
Geodude,ROCK,GROUND,40,80,100,20,30,30,,"1,TACKLE,1,DEFENSECURL,4,SANDSTORM,6,ROCKPOLISH,10,ROLLOUT,12,HARDEN,16,ROCKTHROW,18,SMACKDOWN,22,BULLDOZE,24,SELFDESTRUCT,28,STEALTHROCK,30,ROCKBLAST,34,EARTHQUAKE,36,EXPLOSION,40,DOUBLEEDGE,42,STONEEDGE","ANCIENTPOWER,ATTRACT,BLOCK,BODYSLAM,BRICKBREAK,BULLDOZE,CAPTIVATE,CONFIDE,COUNTER,DEFENSECURL,DIG,DOUBLEEDGE,DOUBLETEAM,DYNAMICPUNCH,EARTHPOWER,EARTHQUAKE,ENDURE,EXPLOSION,FACADE,FIREBLAST,FIREPUNCH,FLAMETHROWER,FLING,FOCUSPUNCH,FRUSTRATION,GYROBALL,HEADBUTT,HIDDENPOWER,INCINERATE,IRONDEFENSE,MEGAPUNCH,METRONOME,MIMIC,MUDSLAP,NATURALGIFT,NATUREPOWER,POWERUPPUNCH,PROTECT,REST,RETURN,ROCKCLIMB,ROCKPOLISH,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROLLOUT,ROUND,SANDSTORM,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SMACKDOWN,SNORE,STEALTHROCK,STONEEDGE,STRENGTH,SUBSTITUTE,SUCKERPUNCH,SUNNYDAY,SUPERPOWER,SWAGGER,THUNDERPUNCH",255,50,"ROCKHEAD,STURDY",SANDVEIL,0.4,20.0,"It climbs mountain paths using only the power of its arms. Because they look just like boulders lining paths, hikers may step on them without noticing.",1,"GRAVELER,Level,25"
